id;img;url;title;active;position;store;type;html
1;Avon;https://casey.com;online;Bedfordshire;Dakota Customer Switchable;open-source indexing Shoes;Synchronised;virtual matrix
2;Music Facilitator;https://maya.org;Industrial Administrator;Granite Manager sensor;cohesive black;redefine;Walks;Chair
3;compress e-markets;http://margot.info;Sleek Officer;expedite Computers killer;Interactions;Common Kina Oregon;explicit input;Face Intelligent
4;pink Brook Circle;https://agustin.com;Buckinghamshire bandwidth Steel;Rubber Loan payment;Associate;Synergistic GB online;Spring;connect Texas specifically
5;PCI;http://muhammad.com;River;Computers;Avon;Suriname;Peso Leone open-source;THX
6;productize;https://herminia.org;Corporate wireless;Steel;Plastic Automotive;plug-and-play firewall Light;application Industrial;hard
7;Beauty Avon Officer;http://ofelia.net;Monaco mobile;Cyprus;indigo;compressing;Silver synthesize;user-facing Czech
8;Mill customer compressing;http://emilia.biz;efficient Forward Planner;Electronics array hacking;maroon;Paraguay Account;Serbia Paradigm Camp;Handcrafted mobile
9;Awesome North e-business;https://stanley.org;Kenyan optimizing;Granite Hawaii redundant;grey Missouri;face Gorgeous;Operations withdrawal;Intelligent context-sensitive Books
10;Versatile secondary;https://warren.net;mobile;International Officer open-source;Account;withdrawal;Lanka THX haptic;Down-sized array
